date,airPressure_outside_fall,airPressure_outside_max,airPressure_outside_mean,airPressure_outside_min,airPressure_outside_rise,hour_group,humidity_outside_fall,humidity_outside_max,humidity_outside_mean,humidity_outside_min,humidity_outside_rise,light_outside_max,light_outside_mean,light_outside_min,rain_outside_max,rain_outside_mean,rain_outside_min,temperature_outside_fall,temperature_outside_max,temperature_outside_mean,temperature_outside_min,temperature_outside_rise
05-21-2017 2,0,1003,1002.4117647059,1002,2,2,29,38,34.6176470588,32,35,799,275.5882352941,149,0,0,0,8,22,20.9411764706,19,8
05-21-2017 3,11,1003,1001.9705882353,1001,5,3,44,64,54.6764705882,32,26,150,38.1470588235,0,0,0,0,20,22,19.0882352941,16,26
05-22-2017 0,5,1007,1003.9705882353,1001,2,0,41,82,72.8823529412,60,32,5,0.1764705882,0,0,0,0,5,18,15.8529411765,14,8
05-22-2017 1,8,1003,1002.3714285714,1001,2,1,34,83,71.6,61,45,939,200.2285714286,10,12,1.4285714286,0,22,20,16.6285714286,14,11
05-22-2017 2,0,1003,1003,1003,0,2,29,79,65.3235294118,57,50,564,308.9411764706,76,15,1.3235294118,0,20,22,20.4705882353,18,8
05-22-2017 3,8,1006,1004.6470588235,1003,0,3,44,66,54.8823529412,46,23,141,39.0882352941,0,0,0,0,2,22,20.2058823529,18,14
05-23-2017 0,8,1009,1008,1007,5,0,58,79,63.6764705882,56,32,27,1.1470588235,0,0,0,0,11,17,15.7352941176,14,20
05-23-2017 1,5,1010,1009.1428571429,1008,0,1,17,70,44.4285714286,28,57,3213,1355.8,53,0,0,0,34,26,20.2,14,17
05-23-2017 2,2,1010,1008.5882352941,1007,11,2,29,35,31.6176470588,30,23,585,198.9411764706,126,0,0,0,2,24,22.2058823529,22,8
05-23-2017 3,5,1009,1008.2647058824,1007,0,3,61,59,47.2352941176,34,26,125,34.2058823529,0,0,0,0,8,22,20.2352941176,17,17
05-24-2017 0,0,1008,1006.205882353,1004,5,0,41,79,65.8823529412,58,11,39,1.6470588235,0,0,0,0,2,20,14.7941176471,13,14
05-24-2017 1,0,1008,1008,1008,0,1,11,83,52.7142857143,30,62,3207,1426.9142857143,74,0,0,0,40,28,20.4285714286,13,11
05-24-2017 2,0,1008,1006.205882353,1004,11,2,32,36,30.0294117647,27,35,631,262.2352941176,151,0,0,0,17,24,23.4117647059,23,17
05-24-2017 3,2,1005,1004.4117647059,1004,0,3,55,60,44.3529411765,30,5,202,42.2647058824,0,0,0,0,0,24,20.8529411765,17,20
05-25-2017 0,5,1005,1004.4705882353,1004,2,0,35,96,80.8529411765,63,20,13,0.5588235294,0,0,0,0,5,16,14.7058823529,13,11
05-25-2017 1,5,1006,1004.6285714286,1004,0,1,48,88,74.4571428571,66,20,363,155.7142857143,26,24,8.1428571429,0,14,20,14.7428571429,13,17
05-25-2017 2,0,1006,1004.9117647059,1004,5,2,29,90,86.8235294118,82,41,384,249.4411764706,100,18,11.6470588235,9,11,18,16.7058823529,15,2
05-25-2017 3,5,1005,1004.2647058824,1004,2,3,50,96,85.8235294118,77,29,235,53.2941176471,0,9,2.1764705882,0,2,19,17.2058823529,16,8
05-26-2017 0,2,1005,1004.8,1004,0,0,27,94,87.4722222222,81,22,7,0.3142857143,0,0,0,0,2,16,15.0833333333,14,5
05-26-2017 1,2,1006,1005.5294117647,1005,0,1,20,91,88.2647058824,83,35,290,109,13,24,2.8235294118,0,8,16,14.9411764706,14,2
05-26-2017 2,2,1006,1005.4705882353,1004,8,2,29,85,73.8235294118,68,29,615,251.7647058824,83,0,0,0,8,18,17.6176470588,16,2
05-26-2017 3,2,1005,1004.7647058824,1004,0,3,35,83,76.7058823529,68,20,194,42.4117647059,0,0,0,0,0,18,17.2941176471,16,5
05-27-2017 0,6,1011,1007.9393939394,1005,0,0,42,98,91.0909090909,83,12,0,0,0,23,2.7941176471,0,5,15,14,13,11
05-27-2017 1,6,1008,1006.696969697,1006,0,1,17,97,95.1176470588,92,20,274,97.2121212121,3,11,6.8787878788,4,2,14,13.2647058824,13,2
05-27-2017 2,2,1008,1007.6764705882,1007,5,2,20,91,79.7058823529,72,38,576,371.2647058824,127,17,3.6176470588,0,14,18,16.1764705882,14,5
05-27-2017 3,9,1010,1008.6875,1007,0,3,56,98,86.875,77,34,170,37.21875,0,20,5.03125,0,3,17,15.875,14,12
05-28-2017 0,2,1014,1012.4705882353,1011,2,0,38,95,89.9117647059,78,38,45,2.1764705882,0,1,0.0882352941,0,8,18,14.1470588235,12,8
05-28-2017 1,5,1013,1012.5294117647,1011,0,1,5,82,62.5882352941,43,50,3527,1233.705882353,75,0,0,0,32,23,18.4411764706,13,8
05-28-2017 2,2,1013,1012.9714285714,1012,2,2,40,50,45.2,40,40,2001,414.4571428571,133,0,0,0,14,22,21.5428571429,21,14
05-28-2017 3,5,1014,1013.3529411765,1012,0,3,76,90,65.1176470588,43,2,230,49.2058823529,0,0,0,0,0,22,19.2352941176,16,17
05-29-2017 0,0,1013,1009.6176470588,1006,8,0,29,89,70.0882352941,57,32,40,2.0588235294,0,0,0,0,8,21,17,14,14
05-29-2017 1,0,1012,1011.8235294118,1011,2,1,20,79,52.3823529412,31,67,3385,1396.7941176471,63,0,0,0,47,28,21.2941176471,14,11
05-29-2017 2,0,1011,1009.7142857143,1008,8,2,34,38,33.8571428571,30,22,2373,397.0571428571,93,0,0,0,2,26,24.3714285714,24,8
05-29-2017 3,0,1008,1007.1176470588,1007,2,3,52,69,51,38,29,126,34.2058823529,0,0,0,0,14,24,22.2058823529,19,17
05-30-2017 0,0,1006,1005.2647058824,1005,2,0,38,72,66.3235294118,61,17,43,2.1764705882,0,0,0,0,5,21,19.2058823529,17,8
05-30-2017 1,0,1005,1005,1005,0,1,23,73,55.8529411765,37,38,3273,1393.6470588235,70,0,0,0,35,30,23.5,16,8
05-30-2017 2,2,1005,1004.5294117647,1004,5,2,41,46,42.4705882353,39,29,2287,364.7352941176,136,0,0,0,11,29,26.7647058824,26,17
05-30-2017 3,2,1005,1004.3714285714,1004,0,3,48,69,58.0857142857,46,5,157,37.8285714286,0,0,0,0,0,26,23.3714285714,21,14
05-31-2017 0,8,1006,1004.6176470588,1004,2,0,55,90,75.7352941176,63,26,44,2.2058823529,0,0,0,0,11,23,20.3529411765,18,17
05-31-2017 1,8,1006,1005.3235294118,1004,2,1,20,75,66.0882352941,62,41,1163,361.8235294118,73,0,0,0,20,24,21.5,18,5
05-31-2017 2,0,1006,1005.1176470588,1004,5,2,26,64,51.7941176471,44,52,802,392.2058823529,226,0,0,0,26,28,26.7352941176,24,17
05-31-2017 3,5,1005,1004.7941176471,1004,2,3,58,85,68.0294117647,48,29,249,40.7058823529,0,6,0.4705882353,0,0,27,23.9705882353,21,17
06-01-2017 0,2,1007,1006.2857142857,1006,0,0,34,98,92.5142857143,79,20,28,1.8857142857,0,0,0,0,11,24,19.6285714286,19,14
06-01-2017 1,2,1007,1006.9411764706,1006,0,1,11,93,63.0294117647,38,61,3146,1427.9705882353,38,0,0,0,47,32,25.0294117647,19,11
06-01-2017 2,6,1007,1005.9696969697,1005,9,2,61,81,53.9117647059,42,26,1896,335.4848484848,9,23,0.8787878788,0,5,30,27.3823529412,23,23
06-01-2017 3,5,1007,1006,1005,5,3,50,95,85.2647058824,76,38,114,24.2352941176,0,23,3.3529411765,0,20,24,21.9705882353,20,26
06-02-2017 0,2,1007,1005.9117647059,1004,5,0,35,97,88.4117647059,74,41,45,2.2647058824,0,0,0,0,8,23,20.2941176471,19,11
06-02-2017 1,2,1009,1008.7142857143,1008,0,1,14,73,48,36,68,2839,1309.6857142857,80,0,0,0,34,28,22.8285714286,19,11
06-02-2017 2,0,1009,1006.8823529412,1005,11,2,44,52,44.9117647059,34,20,1744,291.8235294118,129,0,0,0,0,27,26.0294117647,26,2
06-02-2017 3,0,1005,1005,1005,0,3,55,87,66.1176470588,51,17,143,36.1764705882,0,0,0,0,8,26,24.0882352941,21,17
06-03-2017 0,5,1007,1005.9705882353,1004,0,0,47,93,86.5,74,26,44,2.1764705882,0,0,0,0,2,21,20.1470588235,19,5
06-03-2017 1,8,1008,1006.8529411765,1006,5,1,29,69,56.8235294118,47,50,710,229.9117647059,45,0,0,0,17,22,20.1470588235,19,11
06-03-2017 2,5,1008,1006.6571428572,1006,8,2,22,63,48,43,51,691,372.6571428571,154,0,0,0,14,25,24.0285714286,21,2
06-03-2017 3,5,1007,1006.1470588235,1005,0,3,50,82,65.9705882353,45,26,199,48.8823529412,0,0,0,0,5,25,23.1764705882,21,17
06-04-2017 0,0,1007,1007,1007,0,0,29,97,82.3823529412,68,26,12,0.5882352941,0,0,0,0,8,20,18.4705882353,17,14
06-04-2017 1,11,1009,1008.205882353,1007,5,1,20,97,92.2058823529,88,38,447,187.4705882353,17,12,0.7058823529,0,14,20,18.6764705882,18,8
06-04-2017 2,0,1009,1007.205882353,1006,8,2,14,86,67.1764705882,55,55,849,414.2941176471,106,0,0,0,23,25,23.3235294118,20,11
06-04-2017 3,2,1007,1006.4285714286,1006,0,3,45,71,59.4571428571,53,17,131,39.3142857143,0,0,0,0,0,25,22.4571428571,20,14
06-05-2017 0,11,1007,1005.9411764706,1005,17,0,55,85,75.9411764706,68,8,59,3.1176470588,0,0,0,0,2,20,17.9117647059,16,11
06-05-2017 1,5,1008,1007,1006,5,1,11,86,74.1176470588,49,52,3141,1359.4705882353,97,0,0,0,33,25,19.4848484848,16,9
06-05-2017 2,0,1007,1005.9705882353,1005,5,2,23,52,47.1764705882,43,38,2439,311.5,126,0,0,0,17,26,25.2058823529,24,14
06-05-2017 3,14,1006,1005.0857142857,1004,11,3,65,72,58.4,46,11,130,41.4,0,0,0,0,2,26,23.4,20,20
06-06-2017 0,0,1005,1003.9714285714,1003,2,0,45,87,79.4285714286,72,34,59,3.2,0,0,0,0,2,20,18.0285714286,16,8
06-06-2017 1,5,1006,1005.6470588235,1005,2,1,20,87,55.7352941176,31,58,3398,1433.5,88,0,0,0,47,31,23.2941176471,16,23
06-06-2017 2,0,1005,1004,1003,5,2,35,38,34.7058823529,32,32,2729,289.6176470588,115,0,0,0,2,28,25.9705882353,25,5
